"","longitude","latitude","pop"
"98",-77.1133330100785,-11.9466664180984,33.9442024230957
"99",-77.093333010158,-11.9466664180984,172.616317749023
"100",-77.0924996768279,-11.9466664180984,185.596389770508
"101",-77.0916663434979,-11.9466664180984,189.218978881836
"102",-77.0908330101679,-11.9466664180984,195.288970947266
"103",-77.0899996768379,-11.9466664180984,196.597503662109
"104",-77.0891663435078,-11.9466664180984,192.261795043945
"105",-77.0883330101778,-11.9466664180984,193.654174804688
"106",-77.0874996768478,-11.9466664180984,196.77604675293
"107",-77.0866663435178,-11.9466664180984,194.052169799805
"108",-77.0858330101877,-11.9466664180984,202.345153808594
"109",-77.1224996767088,-11.9474997514284,41.4416847229004
"110",-77.1216663433788,-11.9474997514284,43.3231582641602
"111",-77.1208330100488,-11.9474997514284,45.4238777160645
